title,genres,original_language,overview,popularity,production_companies,release_date,budget,runtime,status,tagline,vote_average,vote_count,keywords,adult,production_countries,spoken_languages,actor_1_popularity,actor_2_popularity,actor_3_popularity,mpaa_rating,revenue
Navigating the Heart,Drama-Romance,en,When sophisticated New York journalist Edith Iglauer is assigned to go to British Columbia to write a frivolous piece on the fishing industry she butts heads with local fisherman and notorious loner John Daly. While she thrives on the fast-paced life of Manhattan he loathes pretension and could go days without speaking to anyone. But when the two are caught in a perilous situation they are forced to put aside their pettiness and re-examine their lives. With external factors stripped away they begin to fall in love. Ultimately Edith must decide between staying in the glamorous world she has always cherished or leaving it all behind for a chance at love.,3.394,StudioCanal-Front Street Pictures-Hearst Entertainment Productions-Lee Rose Productions-Pacific Motion Pictures Corporation,2000-02-14,14.508657738524219,91.0,Released,Love surfaces in the strangest places.,6.4,5.0,romance,0.0,"Canada, United Kingdom, United States of America",English,1.5357,2.7799,1.6976,PG,15.424948470398375
Hanging Up,Drama-Comedy,en,Three sisters - Georgia Eve and Maddy - do what they do best with life love and lunacy on the telephone lines that bind - when their curmudgeonly father Lou is admitted to a Los Angeles Hospital. After years of wild living intermittent affection and constant phoning he is finally threatening to die.,11.867,Nora Ephron Productions-Global Medien KG-Laurence Mark Productions-Columbia Pictures,2000-02-16,17.909855120186375,94.0,Released,Every family has a few hang-ups.,5.2,167.0,sibling relationship-based on true story-hospital-los angeles california-dog-heartbreak-neurotic-woman director-broken heart-abandoned by mother-party planner-estranged mother-father daughter relationship-sister sister relationship-memories-holidays-sisters-phone calls-father in hospital-curmudgeon-depressed father-soap opera actress-magazine owner-abandoned by wife,0.0,"Germany, United States of America","Italian, English",3.4219,3.5626,2.6669,PG-13,17.764444765523184
Pitch Black,Thriller-Science Fiction-Action,en,When their ship crash-lands on a remote planet the marooned passengers soon learn that escaped convict Riddick isn't the only thing they have to fear. Deadly creatures lurk in the shadows waiting to attack in the dark and the planet is rapidly plunging into the utter blackness of a total eclipse. With the body count rising the doomed survivors are forced to turn to Riddick with his eerie eyes to guide them through the darkness to safety. With time running out there's only one rule: Stay in the light.,12.648,Interscope Communications,2000-02-18,16.951004773893423,108.0,Released,Don't be afraid of the dark. Be afraid of what's in the dark,6.832000000000001,3866.0,darkness-dystopia-comet-alien life-form-survival-creature-eclipse-flask-spaceship crash,0.0,United States of America,"Arabic, English",10.1274,2.0378,4.5244,R,17.789336953717605
Hey Ram,History-Drama-Crime,ta,Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country. He sets out to kill him.,5.466,Raajkamal Films International,2000-02-18,15.176487111099874,199.0,Released,An Experiment With Truth,6.5,35.0,assassination-muslim-riot-hindu-mahatma gandhi-based on true story-revenge-race riot-religion,0.0,India,"Hindi, Tamil",2.4866,5.8762,1.4912,PG-13,15.404745763080856
The Whole Nine Yards,Comedy-Crime,en,After a mobster agrees to cooperate with an FBI investigation in order to stay out of prison he's relocated by the authorities to a life of suburban anonymity as part of a witness protection program. It's not long before a couple of his new neighbours figure out his true identity and come knocking to see if he'd be up for one more hit—suburban style.,22.775,Franchise Pictures-Morgan Creek Productions-Nine Yards Productions-Rational Packaging Company-Lansdown Films-Warner Bros. Pictures,2000-02-18,17.53637305793126,98.0,Released,"In the heart of suburbia, a hit man with heart has just moved in.",6.447,1599.0,chicago illinois-gangster-montreal canada-mafia-dentist-hoodlum,0.0,"Canada, United States of America","English, French, Spanish",2.8927,5.3162,2.0778,R,18.48244966140099
Boiler Room,Crime-Drama-Thriller,en,A college dropout gets a job as a broker for a suburban investment firm and is on the fast track to success—but the job might not be as legitimate as it sounds.,11.554,New Line Cinema,2000-02-18,15.761420707019587,118.0,Released,Welcome to the new American dream.,6.7,545.0,finances-long island new york-stockbroker-investment firm-investment banker,0.0,United States of America,"English, Russian",3.048,10.1274,3.1051,R,17.17520011970391
Reindeer Games,Thriller-Action-Crime-Drama,en,After assuming his dead cellmate's identity to get with his girlfriend an ex-con finds himself the reluctant participant in a casino heist.,15.948,Dimension Films-Marty Katz Productions,2000-02-25,17.553180176247643,124.0,Released,The trap is set. The game is on.,5.6,543.0,prison-casino-robbery-small town-manipulation-role reversal-villainess-extramarital affair-voyeurism-christmas,0.0,United States of America,English,7.2175,6.9217,3.9216,R,17.286512881295117
The Next Best Thing,Comedy-Drama-Romance,en,A comedy-drama about best friends - one a straight woman Abbie the other a gay man Robert - who decide to have a child together. Five years later Abbie falls in love with a straight man and wants to move away with her and Robert's little boy Sam and a nasty custody battle ensues.,11.767,Paramount Pictures-Lakeshore Entertainment,2000-03-03,17.034386382832476,108.0,Released,Best friends make the best mistakes,5.3,185.0,parent child relationship-custody battle-flush-yoga-single-best friend-los angeles california-single father-co-parenting,0.0,United States of America,"English, French",2.4424,2.4195,2.8871,PG-13,17.008566787435473
Drowning Mona,Comedy-Crime-Mystery,en,The recently deceased Mona Dearly was many things: an abusive wife a domineering mother a loud-mouthed neighbor and a violent malcontent. So when her car and corpse are discovered in the Hudson River police Chief Wyatt Rash immediately suspects murder rather than an accident. But since the whole community of Verplanck N.Y. shares a deep hatred for this unceasingly spiteful woman Rash finds his murder investigation overwhelmed with potential suspects.,7.922999999999999,Neverland Films-Code Entertainment,2000-03-03,15.60727002719233,96.0,Released,"The death of Mona Dearly wasn't so much a whodunnit, as a who didn't.",5.6,141.0,suspicion-investigation-remake-murder-death-accident-dysfunctional,0.0,United States of America,English,3.5189,1.8918,5.4998,PG-13,16.551642224628694
Digimon: The Movie,Fantasy-Animation-Science Fiction-Family,ja,The first story focused on Tai and Kari Kamiya four years before their adventure in the Digital World. It shows their first encounter with Digimon and what happened to them (as well as the other children). Tai and Kari wake one morning to find a Digi-Egg that came out of their computer the night before and the egg soon hatches revealing a Botamon. The Digimon then evolves into Koromon and then Agumon (not the same one that became friends with Tai in the series and yet somehow both Koromon and Kari remember each other) who then goes out and unintentionally destroys a good part of the neighborhood with Kari riding on his back. A second Digi-Egg appears in the sky to reveal an evil digimon Parrotmon. Agumon then Digivolves to Greymon but isn't strong enough to beat Parrotmon and is knocked out. Tai grabs Kari's whistle and wakes up Greymon who defeats Parrotmon and disappears with him.,13.017,Saban Entertainment-Toei Company-Fox Family Films-Fox Kids Europe Properties-Fox Kids International Programming-Fox Kids Network-Toei Animation,2000-03-04,15.520258650202699,89.0,Released,New Monsters. New Battles. Now on the Big Screen.,6.6,243.0,video game-monster-loss of energy-computer-superhero-internet-compilation-battle-based on video game-giant egg-animal trainer-superhero kids-shounen-anime-good versus evil,0.0,"Japan, United States of America",Japanese,0.8051,0.4766,0.536,PG,16.62491325332677
Company Man,Comedy,en,"Set in the 1960's a school teacher pretends to be a CIA spy to get his nagging wife off his back. He helps a Russian ballet dancer defect and is then sent to Cuba to locate ""Agent X"" for the CIA.",5.751,Film Foundry Partners-GreeneStreet Films-Intermedia Films-GreeneStreet/SKE Films-Wind Dancer Productions-Union Générale Cinématographique (UGC),2000-03-09,16.588099280204055,86.0,Released,International intelligence just got dumber.,4.7,25.0,duringcreditsstinger,0.0,"France, United Kingdom, United States of America",English,0.9389,2.3094,3.6545,PG-13,11.892682945534586
Mission to Mars,Science Fiction-Thriller,en,When contact is lost with the crew of the first Mars expedition a rescue mission is launched to discover their fate.,14.407,Spyglass Entertainment-The Jacobson Company-Touchstone Pictures-Red Horizon Productions,2000-03-10,18.31532022829454,114.0,Released,Let There Be Life.,6.0,1200.0,planet mars-spacecraft-space travel-horror-space-alien-long take-astronaut-dismemberment-alien contact-trapped in space-based on theme park ride-suspense,0.0,"Canada, France, United States of America",English,3.9216,3.2866,3.6885,PG,17.924326814911712
The Gift,Horror-Drama-Thriller-Mystery,en,Annie Wilson young widow and mother of three makes her living foretelling others' futures⁠—though her own has become cloudier than even she can see. Threatened by a client's violent husband and plagued by visions of a missing local woman Annie finds herself pulled into a thicket of lies and deception in which her extraordinary gift may ultimately get her killed.,20.544,Lakeshore Entertainment-Alphaville Films-Paramount Classics,2000-03-16,16.11809565095832,112.0,Released,The only witness to the crime was not even there.,6.41,1167.0,small town-sheriff-dream-fortune teller-nightmare-court-widow-tarot cards-premonition-backwoods-pond-extrasensory perception-clairvoyant-abusive husband-southern gothic,0.0,United States of America,English,6.0058,3.048,10.2171,R,16.301137115223362
Erin Brockovich,Drama,en,A twice-divorced mother of three who sees an injustice takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.,19.72,Jersey Films,2000-03-17,17.7667542765457,131.0,Released,She brought a small town to its feet and a huge company to its knees.,7.4,2822.0,biography-based on true story-single mother-water pollution-environmental law-legal drama-corporate negligence,0.0,United States of America,English,6.59,1.8621,2.931,R,19.361747152284067
Final Destination,Horror,en,After a teenager has a terrifying vision of him and his friends dying in a plane crash he prevents the accident only to have Death hunt them down one by one.,71.663,Hard Eight Pictures-New Line Cinema-Zide-Perry Productions,2000-03-17,16.951004773893423,98.0,Released,No accidents. No coincidences. No escapes. You can't cheat death.,6.596,5402.0,airport-omen-premonition-airplane accident-corpse-death-near-death experience-cheating death,0.0,United States of America,"English, French",1.8191,7.7879,2.2388,R,18.54201302911989
High Fidelity,Drama-Comedy-Romance-Music,en,When record store owner and compulsive list-compiler Rob Gordon gets dumped by his long-time girlfriend Laura because he hasn't changed since they met he revisits his top five breakups of all time in order to figure out what went wrong. As he examines his failed attempts at romance and happiness the process finds him being dragged kicking and screaming into adulthood.,46.77,Touchstone Pictures-Working Title Films-Dogstar Films-New Crime Productions,2000-03-17,17.216707939626428,113.0,Released,"A comedy about fear of commitment, hating your job, falling in love and other pop favorites.",7.138,1816.0,chicago illinois-rock 'n' roll-music record-disc jockey-pop-ex-girlfriend-music journalist-relationship problems-record label-flashback-breaking the fourth wall-fear of commitment-falling in love-break-up-record-record album-music scene-breaking up with boyfriend-music culture-record store-top five-dating history,0.0,"United Kingdom, United States of America","Danish, English",4.7328,0.834,1.2727,R,17.66834168346098
Romeo Must Die,Action-Crime-Thriller,en,Two warring gang families (one African-American the other Chinese) maneuver for bragging rights to the Oakland California docks. Hang Sing and Trish O'Day uncover a trail of deceit that leaves most of the warring factions dead … or worse!,24.195,Warner Bros. Pictures-Silver Pictures,2000-03-22,17.034386382832476,115.0,Released,"In the city ruled by criminals, two families have forgotten their fear. He will make them remember.",6.202000000000001,999.0,martial arts-hip-hop-oakland california-east asian lead,0.0,United States of America,"English, Mandarin",5.8989,1.0551,2.2759,R,18.326773938956805
Here on Earth,Romance-Drama,en,Three lives of three young people intersect over the course of one summer. A rich student and a young working-class man accidentally destroy a diner when their impromptu road race takes a disastrous turn. Ordered by a judge to spend the summer repairing the building they find themselves becoming rivals for the affections of the owner's daughter.,8.13,Friendly Productions-Fox 2000 Pictures,2000-03-24,16.523560759066484,96.0,Released,One summer totally changed their lives.,6.0,144.0,car race-private school-high school-coming of age-diner-working class-teenage love-spoiled rich kid,0.0,United States of America,English,2.324,1.4761,3.0504,PG-13,16.20180682158595
Waking the Dead,Mystery-Drama-Romance,en,A congressional candidate questions his sanity after seeing the love of his life presumed dead suddenly emerge.,10.105,Gramercy Pictures-Egg Pictures-PolyGram Filmed Entertainment,2000-03-24,15.955576721460545,105.0,Released,Sometimes love has a life of it's own.,6.2,74.0,new york city-based on novel or book-1970s-politics-politician-chile-priest-election-death-congressman-1980s,0.0,"Canada, United States of America",English,2.5028,9.4443,0.9209,R,12.698992921027328
The Skulls,Crime-Drama-Thriller,en,A senior at an ivy league college who depends on scholarships and working on the side gets accepted into the secret society The Skulls. He hopes it betters chances at Harvard but The Skulls is not what he thought and comes at a price.,12.529000000000002,Universal Pictures-Original Film-Newmarket Capital Group-Cranium Films,2000-03-31,16.523560759066484,106.0,Released,Getting in is easy. Getting out is a killer.,5.7,477.0,journalist-suicide attempt-secret society-pizza-wealth-pay phone-rooftop-fraternity-foot race-ivy league-u.s. senator-dining hall,0.0,"Canada, United States of America",English,3.4441,4.3333,2.5283,PG-13,17.743448643961408
The Road to El Dorado,Family-Adventure-Animation-Comedy-Fantasy,en,"After a failed swindle two con-men end up with a map to El Dorado the fabled ""city of gold"" and an unintended trip to the New World.  Much to their surprise the map does lead the pair to the mythical city where the startled inhabitants promptly begin to worship them as gods.  The only question is do they take the worshipful natives for all they're worth or is there a bit more to El Dorado than riches?",41.768,DreamWorks Animation-DreamWorks Pictures,2000-03-31,18.369387449564815,89.0,Released,They came for the gold. They stayed for the adventure.,7.242000000000001,3354.0,gold-horse-musical-cartoon-sword fight-con artist-adventurer-16th century-conquistador-el dorado-age of discovery,0.0,United States of America,English,4.5497,2.1201,1.7655,PG,18.15192152628948
Love's Labour's Lost,Comedy-Music-Romance,en,The King of Navarre and his three companions swear a very public oath to study together and to renounce women for three years. Their honour is immediately put to the test by the arrival of the Princess of France and her three lovely companions. It's love at first sight for all concerned followed by the men's hopeless efforts to disguise their feelings.,6.893,"Shakespeare Film Company, Pathé Pictures International, Intermedia Films, Arts Council of England, StudioCanal, Miramax",2000-03-31,16.38045991542581,93.0,Released,A new spin on the old song and dance.,5.6,54.0,dance-musical-romance-comedy,0.0,"France, United Kingdom, United States of America",English,4.5497,1.556,0.9789,PG,12.610844179838294
28 Days,Comedy-Drama,en,After getting into a car accident while drunk on the day of her sister's wedding Gwen Cummings is given a choice between prison or a rehab center. She chooses rehab but is extremely resistant to taking part in any of the treatment programs they have to offer refusing to admit that she has an alcohol addiction.,10.126,Columbia Pictures,2000-04-06,17.576710673657836,103.0,Released,The Life of the Party... before she got a life.,6.1,847.0,drug addiction-alcoholism-car crash-drug rehabilitation-wedding-withdrawal-sobriety-woman director,0.0,United States of America,English,7.729,4.0915,2.6771,PG-13,15.643263422769506
Ready to Rumble,Action-Comedy,en,Two slacker wrestling fans are devastated by the ousting of their favorite character by an unscrupulous promoter.,6.028,Warner Bros. Pictures-Bel Air Entertainment,2000-04-07,16.99356438831222,107.0,Released,They're headed to the big time...face first.,5.2,132.0,sports-pro wrestling,0.0,United States of America,English,2.5795,2.0193,1.5447,PG-13,16.330979551584914
Return to Me,Romance-Comedy,en,It took a lot of cajoling to get Bob a recently widowed architect to go on a blind date at a quirky Irish-Italian eatery. Once there he's smitten instantly not with his date but with the sharp-witted waitress. Everything seems to be going great until an unbelievable truth is revealed one that could easily break both of their hearts for good.,9.313,Metro-Goldwyn-Mayer-JLT Productions,2000-04-07,16.99356438831222,115.0,Released,A comedy straight from the heart,6.6,375.0,transplantation-love of one's life-veterinarian-woman director,0.0,United States of America,English,2.972,3.2864,1.3433,PG,17.4158318485217
Rules of Engagement,War-Action-Adventure-Drama-History,en,A Marine Colonel is brought to court-martial after ordering his men to fire on demonstrators surrounding the American embassy in Yemen.,14.598,Munich Film Partners & Company (MFP) ROE Production-Paramount-Seven Arts Pictures,2000-04-07,17.909855120186375,128.0,Released,A hero should never have to stand alone.,6.2,594.0,vietnam veteran-wound-court case-colony-life-saver-lawyer,0.0,United States of America,"Arabic, English",3.7899,7.3181,3.9235,R,18.078190435005588
American Psycho,Thriller-Drama-Crime,en,A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical gratuitous fantasies.,67.73899999999999,Muse Productions-Pressman Film-Lionsgate,2000-04-13,15.761420707019587,102.0,Released,I think my mask of sanity is about to slip.,7.39,9077.0,based on novel or book-businessman-wall street-psychopath-satire-dark comedy-serial killer-big city-psychological thriller-cult film-character study-white collar-harvard business school-child of divorce-voice imitation-unreliable narrator-woman director-1980s-toxic masculinity-american businessman,0.0,"Canada, United States of America","English, Spanish, Cantonese",5.3891,4.9542,4.1557,R,17.349680626203792
Keeping the Faith,Comedy-Romance,en,Best friends since they were kids Rabbi Jacob Schram and Father Brian Finn are dynamic and popular young men living and working on New York's Upper West Side. When Anna Reilly once their childhood friend and now grown into a beautiful corporate executive suddenly returns to the city she reenters Jake and Brian's lives and hearts with a vengeance. Sparks fly and an unusual and complicated love triangle ensues.,10.639,Spyglass Entertainment-Touchstone Pictures-Triple Threat Talent,2000-04-14,17.216707939626428,127.0,Released,"If you have to believe in something, you may as well believe in love.",6.1,527.0,love triangle-rabbi-romantic comedy-priest-catholicism,0.0,United States of America,"Hebrew, English, Spanish",4.0775,6.6471,2.3222,PG-13,17.90894108591763
U-571,War-Action-Adventure,en,In the midst of World War II the battle under the sea rages and the Nazis have the upper hand as the Allies are unable to crack their war codes. However after a wrecked U-boat sends out an SOS signal the Allies realise this is their chance to seize the 'enigma coding machine'.,35.691,Universal Pictures-Dino De Laurentiis Company-Summit Entertainment-StudioCanal-Cinecittà Studios,2000-04-20,17.942644943009366,116.0,Released,Heroes are ordinary men who do extraordinary things in extraordinary times.,6.485,1184.0,mission-submarine-world war ii-north atlantic-enigma machine-adoring,0.0,"France, United States of America","English, French, Russian",6.0604,3.9162,2.4606,PG-13,18.66519432100277
Gossip,Mystery-Thriller,en,For a class project three college students decide to invent an unfounded rumor about the most popular girl on campus. But as the rumor spreads it begins to spiral out of control.,14.023,NPV Entertainment-Outlaw Productions-Village Roadshow Pictures-Warner Bros. Pictures,2000-04-21,16.454567887579532,90.0,Released,Some people are dying to hear it.,5.8,226.0,experiment-college-gossip-rumor,0.0,United States of America,"English, Italian",8.9225,5.5562,3.0918,R,15.446479015748647
Love & Basketball,Comedy-Drama-Romance,en,Monica Wright and Quincy McCall grew up in the same neighborhood and have known each other since childhood. As they grow into adulthood they fall in love but they also share another all-consuming passion: basketball.  As Quincy and Monica struggle to make their relationship work they follow separate career paths though high school and college basketball and they hope into stardom in big-league professional ball.,12.875,40 Acres and a Mule Filmworks,2000-04-21,16.811242831518264,124.0,Released,All's fair in love and basketball.,7.5,375.0,lovers-affection-sports-high school-basketball-high school sports-relationship-woman director,0.0,United States of America,"English, Spanish",2.9552,3.2874,0.1002,PG-13,17.137957546554553
Where the Heart Is,Comedy-Drama-Romance,en,Novalee Nation is a 17-year-old Tennessee transient who has to grow up in a hurry when she's left pregnant and abandoned by her boyfriend on a roadside and takes refuge in the friendly aisles of Wal-Mart. Eventually some eccentric but kindly strangers 'adopt' Novalee and her infant daughter helping them buck the odds and build a new life.,9.195,20th Century Fox-Wind Dancer Films,2000-04-27,16.523560759066484,120.0,Released,Laughter is harder... Friendship is stronger... Trust is deeper... When it comes from the heart.,7.1,605.0,california-baby-supermarket-oklahoma-pregnancy-pregnant minor-change-tennessee-unwillingly pregnant-teenage pregnancy-starting over,0.0,United States of America,English,6.7285,2.3333,3.0844,PG-13,17.335118156341426
Frequency,Science Fiction-Thriller,en,When a rare phenomenon gives police officer John Sullivan the chance to speak to his father 30 years in the past he takes the opportunity to prevent his dad's tragic death.  After his actions inadvertently give rise to a series of brutal murders he and his father must find a way to fix the consequences of altering time.,30.824,New Line Cinema,2000-04-28,17.24949776244942,118.0,Released,The future is listening.,7.2,1472.0,new york city-mother-detective-baseball-radio-future-time-time travel-race against time-investigation-father-murder-paranormal-flashback-rescue-family relationships-escape-explosion-criminal investigation-firefighter-phenomenon-amateur radio-aurora borealis-altering history,0.0,United States of America,English,4.1081,9.8298,1.7857,PG-13,18.03657947029263
The Flintstones in Viva Rock Vegas,Comedy-Family-Romance,en,The Flintstones are at it again. The Flintstones and the Rubbles head for Rock Vegas with Fred hoping to court the lovely Wilma. Nothing will stand in the way of love except for the conniving Chip Rockefeller who is the playboy born in Baysville but who has made it in the cutthroat town of Rock Vegas. Will Fred win Wilma's love?,21.045,Amblin Entertainment-Universal Pictures-Hanna-Barbera Productions,2000-04-28,18.234351165760874,90.0,Released,Get ready to rock!,4.8,729.0,marriage proposal-waitress-flirt-stone age-based on cartoon-best friend-dinosaur,0.0,United States of America,English,1.998,1.7114,1.7671,PG,17.900953535040465
Girlfight,Drama,en,Diana Guzman begins to train as a boxer and achieves impressive success blazing new trails for female boxers all while keeping it a secret from her father.,8.44,Screen Gems-The Independent Film Channel Productions-Green/Renzi,2000-05-01,13.815510557964274,110.0,Released,Prove them wrong.,6.2,157.0,sports-woman director,0.0,United States of America,English,3.8359,0.7833,1.6678,R,14.346138809026444
Gladiator,Action-Drama-Adventure,en,In the year 180 the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne Maximus is set to be executed.  He escapes but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator Maximus must battle to the death with other men for the amusement of paying audiences.,91.731,Universal Pictures-Scott Free Productions-Red Wagon Entertainment-Mill Film-DreamWorks Pictures,2000-05-04,18.45023954619391,155.0,Released,What we do in life echoes in eternity.,8.217,18141.0,epic-gladiator-rome italy-arena-senate-roman empire-parent child relationship-emperor-slavery-ancient rome-revenge-battlefield-slave auction-historical fiction-ancient world-combat-chariot-philosopher-barbarian horde-2nd century-successor-commodus-maximus,0.0,"United Kingdom, United States of America",English,4.5537,3.7682,4.4574,R,19.9583243846394
