title,release_date,budget,runtime,actor_1_popularity,actor_2_popularity,actor_3_popularity,revenue,country_United States of America,country_United Kingdom,country_France,country_Germany,country_Canada,country_Japan,country_China,country_Australia,country_India,country_Spain,studio_Universal Pictures,studio_Warner Bros. Pictures,studio_Columbia Pictures,studio_20th Century Fox,studio_Paramount,studio_New Line Cinema,studio_Walt Disney Pictures,studio_Lionsgate,studio_Relativity Media,studio_Metro-Goldwyn-Mayer,studio_DreamWorks Pictures,studio_Canal+,studio_Summit Entertainment,studio_StudioCanal,studio_Village Roadshow Pictures,studio_Miramax,studio_Touchstone Pictures,studio_Screen Gems,studio_Dune Entertainment,studio_Blumhouse Productions,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,spoken_language_English,spoken_language_Spanish,spoken_language_French,spoken_language_German,spoken_language_Russian,original_language_af,original_language_ca,original_language_cn,original_language_da,original_language_de,original_language_el,original_language_en,original_language_es,original_language_fa,original_language_fi,original_language_fr,original_language_he,original_language_hi,original_language_hu,original_language_id,original_language_it,original_language_ja,original_language_kn,original_language_ko,original_language_ml,original_language_nl,original_language_no,original_language_pl,original_language_pt,original_language_ro,original_language_ru,original_language_sv,original_language_ta,original_language_te,original_language_th,original_language_tl,original_language_tr,original_language_ur,original_language_zh,mpaa_rating_G,mpaa_rating_NC-17,mpaa_rating_NR,mpaa_rating_PG,mpaa_rating_PG-13,mpaa_rating_R,num_keywords,overview_word_count,tagline_word_count,kw_aftercreditsstinger,kw_based,kw_book,kw_child,kw_city,kw_death,kw_director,kw_duringcreditsstinger,kw_family,kw_father,kw_friendship,kw_love,kw_murder,kw_new,kw_novel,kw_police,kw_relationship,kw_school,kw_sequel,kw_story,kw_true,kw_war,kw_woman,kw_world,kw_york,text_theme_1,text_theme_2,text_theme_3,text_theme_4,text_theme_5
Snow Day,2000-02-11,16.38045991542581,89.0,0.0804,0.7617,0.6675,17.950112651427204,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,99,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0.23905773911931064,-0.09534789381896688,-0.10541918659575462,-0.15481752572055058,-0.14872566065405154
Navigating the Heart,2000-02-14,14.50865773852422,91.0,1.5357,2.7799,1.6976,15.424948470398377,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,111,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28572497183698475,0.20381449716551864,0.01517618103878593,-0.15594343331812183,-0.2037018441709156
Hanging Up,2000-02-16,17.909855120186375,94.0,3.4219,3.5626,2.6669,17.764444765523184,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,53,6,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,3,0,0,1,1,0,1,0,0,0.25186291580619086,0.15956620614852457,-0.15161912349570852,0.0506545236905712,-0.011289022734289387
Pitch Black,2000-02-18,16.951004773893423,108.0,10.1274,2.0378,4.5244,17.789336953717605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,89,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1323987311331674,-0.10351303964972527,0.001220550520101978,-0.007762669589299773,0.040953502704937896
Hey Ram,2000-02-18,15.176487111099874,199.0,2.4866,5.8762,1.4912,15.404745763080856,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,14,36,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.11507609895524662,-0.012704847480579727,-0.015270794792153815,0.0020324269448635983,0.0582643996596061
The Whole Nine Yards,2000-02-18,17.53637305793126,98.0,2.8927,5.3162,2.0778,18.48244966140099,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,64,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211009321544488,0.08539798918826348,0.008575899328158332,-0.04221744549504079,0.054889205396604704
Boiler Room,2000-02-18,15.761420707019589,118.0,3.048,10.1274,3.1051,17.17520011970391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.1398945794980768,-0.05404974795808982,-0.04182919612735322,-0.09619316832584843,-0.06504243788961771
Reindeer Games,2000-02-25,17.553180176247643,124.0,7.2175,6.9217,3.9216,17.286512881295117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11685757522706025,-0.022873106374096504,-0.004451948338809467,-0.03422032384473974,0.038542474270363745
The Next Best Thing,2000-03-03,17.034386382832476,108.0,2.4424,2.4195,2.8871,17.008566787435473,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,54,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.26239293893763604,0.10597563604542531,-0.05019741853882747,-0.07171968909723157,0.07635861415738164
Drowning Mona,2000-03-03,15.60727002719233,96.0,3.5189,1.8918,5.4998,16.551642224628694,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,70,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1699521806207604,-0.004390999477136774,-0.0908534227012189,0.045001691921608335,0.12085563945276799
Digimon: The Movie,2000-03-04,15.5202586502027,89.0,0.8051,0.4766,0.536,16.62491325332677,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,157,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27730661009560253,-0.10390275719319922,0.07852050629917126,-0.0537184149218226,-0.1835974602761303
Company Man,2000-03-09,16.588099280204055,86.0,0.9389,2.3094,3.6545,11.892682945534586,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,41,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11958169644141348,-0.027463532461047192,-0.002205071062365744,-0.08774463088857418,0.022627194106883203
Mission to Mars,2000-03-10,18.31532022829454,114.0,3.9216,3.2866,3.6885,17.924326814911712,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,21,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15015570004118453,0.02374529872891629,0.010453391210459838,-0.07255351979620053,0.08287014178384806
The Gift,2000-03-16,16.11809565095832,112.0,6.0058,3.048,10.2171,16.301137115223362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17850471053059186,0.0077283652889014445,-0.07052457982018519,0.039795439579614456,0.11281817564158772
Erin Brockovich,2000-03-17,17.7667542765457,131.0,6.59,1.8621,2.931,19.361747152284067,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,53,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.19652811347675408,-0.07198505283579112,-0.12123494059500148,-0.014748853454329927,-0.021605659732897006
Final Destination,2000-03-17,16.951004773893423,98.0,1.8191,7.7879,2.2388,18.54201302911989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,31,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10177039113216349,-0.02339981580356429,-0.011660007465538549,-0.027839928210052836,0.028804237395723537
High Fidelity,2000-03-17,17.216707939626428,113.0,4.7328,0.834,1.2727,17.66834168346098,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,61,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.19623025156103052,0.04502177612086083,-0.04873499559724763,-0.07122605704554609,-0.025815946030476815
Romeo Must Die,2000-03-22,17.034386382832476,115.0,5.8989,1.0551,2.2759,18.326773938956805,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,39,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1357614969132218,-0.07519737253895988,-0.015872658637722487,-0.019526000903837246,-0.0073437041624921946
Here on Earth,2000-03-24,16.523560759066484,96.0,2.324,1.4761,3.0504,16.20180682158595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,57,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0.1827284373624831,0.011083145324773504,-0.030859000308358125,-0.009435397157622627,0.1266609246408656
Waking the Dead,2000-03-24,15.955576721460544,105.0,2.5028,9.4443,0.9209,12.698992921027328,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,17,8,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.2682312282086239,0.48082700880520507,-0.10025322727724241,-0.22397970969846062,-0.03946512585399278
The Skulls,2000-03-31,16.523560759066484,106.0,3.4441,4.3333,2.5283,17.743448643961408,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10295699240962163,-0.02965796063895534,-0.04653124222445717,-0.056115177918805326,0.010560082510842025
The Road to El Dorado,2000-03-31,18.36938744956481,89.0,4.5497,2.1201,1.7655,18.15192152628948,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,77,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19516327922636403,-0.1638453542064018,0.09762574127766636,-0.08501691614516331,-0.10446876165729553
Love's Labour's Lost,2000-03-31,16.38045991542581,93.0,4.5497,1.556,0.9789,12.610844179838294,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,62,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2187420201598668,0.048564753344492534,-0.0325120699732956,-0.08419009340371783,-0.20800347026307414
28 Days,2000-04-06,17.576710673657836,103.0,7.729,4.0915,2.6771,15.643263422769506,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,56,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.17179095142165793,0.12951107499839382,-0.09649444430707542,-0.13313098181919059,0.10258191500390659
Ready to Rumble,2000-04-07,16.99356438831222,107.0,2.5795,2.0193,1.5447,16.330979551584914,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12295699115356895,-0.06347816580780294,-0.0173127955080076,-0.032836265943067565,-0.02141164833385068
